name,name_alt,lat,lon
Братск,Братск,56.1513108,101.6340035
Вихоревка,Вихоревка,56.1208145,101.1702926
Железногорск-Илимский,Железногорск-Илимский,56.5847888,104.114275
Зима,Зима,53.920693,102.0491772
Киренск,Киренск,57.7756595,108.1109412
Нижнеудинск,Нижнеудинск,54.8968931,99.0314056
Саянск,Саянск,54.1107238,102.18015
Свирск,Свирск,53.0842668,103.3364093
Слюдянка,Слюдянка,51.6563983,103.7187545
Тайшет,Тайшет,55.9405334,98.0030145
Тулун,Тулун,54.557162,100.5780603
Усолье-Сибирское,Усолье-Сибирское,52.7565808,103.6388109
Усть-Илимск,Усть-Илимск,57.9430504,102.7415734
Усть-Кут,Усть-Кут,56.7928178,105.7757343
Черемхово,Черемхово,53.1369095,103.0901268
Шелехов,Шелехов,52.2102538,104.0973294
Багратионовск,Багратионовск,54.3866518,20.6418091
Балтийск,Балтийск,54.6513372,19.9140572
Гвардейск,Гвардейск,54.6588378,21.0501388
Гурьевск,Гурьевск,54.770638,20.6039767
Гусев,Гусев,54.5915455,22.1942445
Зеленоградск,Зеленоградск,54.9600185,20.4753652
Калининград,Калининград,54.7074702,20.5073241
Краснознаменск,Краснознаменск,54.9453423,22.4928745
Ладушкин,Ладушкин,54.5692156,20.1690153
Мамоново,Мамоново,54.4646036,19.9453482
Неман,Неман,55.0316524,22.0324064
Нестеров,Нестеров,54.6313814,22.5713736
Озёрск,Озерск,54.4084705,22.0134438
Пионерский,Пионерский,54.9516574,20.2277424
Полесск,Полесск,54.8625126,21.0998067
Правдинск,Правдинск,54.4430986,21.0085269
Приморск,Приморск,54.7311437,19.9981926
Светлогорск,Светлогорск,54.9439286,20.1514295
Светлый,Светлый,54.6772897,20.1357595
Славск,Славск,55.0449714,21.6742367
Советск,Советск,55.0809336,21.8886106
Черняховск,Черняховск,54.6244751,21.7969062
Калуга,Калуга,54.5059848,36.2516245
Обнинск,Обнинск,55.0943144,36.6121639
Людиново,Людиново,53.8700828,34.4385915
Киров,Киров,54.0790111,34.3076201
Малоярославец,Малоярославец,55.0177123,36.4633603
Балабаново,Балабаново,55.1773714,36.6566951
Козельск,Козельск,54.0347201,35.780768
Кондрово,Кондрово,54.7959473,35.9274842
Сухиничи,Сухиничи,54.097296,35.3443568
Боровск,Боровск,55.2130096,36.4926251
Сосенский,Сосенский,54.0566016,35.9621646
Жуков,Жуков,55.0301833,36.7394903
Кремёнки,Кременки,54.8862447,37.1168701
Ермолино,Ермолино,55.1971758,36.5952722
Таруса,Таруса,54.7236477,37.1671
Белоусово,Белоусово,55.0956803,36.677629
Медынь,Медынь,54.9689785,35.8872168
Юхнов,Юхнов,54.7446445,35.2424346
Жиздра,Жиздра,53.7521926,34.7386592
Спас-Деменск,Спас-Деменск,54.409922,34.0189631
Мосальск,Мосальск,54.4824939,34.9872239
Мещовск,Мещовск,54.3191471,35.2816918
Вилючинск,Вилючинск,52.9302415,158.4057632
Елизово,Елизово,53.1830375,158.3883548
Петропавловск-Камчатский,Петропавловск-Камчатский,53.036908,158.6559254
Анжеро-Судженск,Анжеро-Судженск,56.0786281,86.0201278
Белово,Белово,54.4220968,86.3037373
Берёзовский,Березовский,55.6693513,86.2744459
Калтан,Калтан,53.5210919,87.2771636
Кемерово,Кемерово,55.3910651,86.0467781
Киселёвск,Киселевск,54.0059999,86.6366116
Ленинск-Кузнецкий,Ленинск-Кузнецкий,54.6674492,86.1797324
Мариинск,Мариинск,56.2127383,87.7454924
Междуреченск,Междуреченск,53.6865289,88.0702754
Мыски,Мыски,53.7125695,87.8055646
Новокузнецк,Новокузнецк,53.794315,87.2142745
Осинники,Осинники,53.5988055,87.3371272
Полысаево,Полысаево,54.6055,86.2809208
Прокопьевск,Прокопьевск,53.8604265,86.7183577
Салаир,Салаир,54.2351735,85.8030733
Тайга,Тайга,56.0622131,85.6207182
Таштагол,Таштагол,52.759313,87.8476546
Топки,Топки,55.2764707,85.6152619
Юрга,Юрга,55.7202694,84.8886399
Кирово-Чепецк,Кирово-Чепецк,58.5559424,50.0316848
Вятские Поляны,Вятские Поляны,56.2284817,51.0614855
Слободской,Слободской,58.7311574,50.1669249
Котельнич,Котельнич,58.3034832,48.3475597
Омутнинск,Омутнинск,58.6698913,52.1894564
Яранск,Яранск,57.3040326,47.8478737
Сосновка,Сосновка,56.2532741,51.2833642
Белая Холуница,Белая Холуница,58.8415239,50.8460699
Зуевка,Зуевка,58.4032152,51.1331606
Луза,Луза,60.6290609,47.2612445
Кирс,Кирс,59.340056,52.2414437
Уржум,Уржум,57.1097477,50.0058097
Нолинск,Нолинск,57.5597284,49.93575
Малмыж,Малмыж,56.5243844,50.6782739
Орлов,Орлов,58.5389776,48.8927723
Мураши,Мураши,59.3955383,48.9638417
Кострома,Кострома,57.768,40.927
Буй,Буй,58.4733277,41.5306822
Шарья,Шарья,58.3760542,45.4062414
Нерехта,Нерехта,57.4543369,40.5723598
Мантурово,Мантурово,58.3265441,44.757494
Волгореченск,Волгореченск,57.4424559,41.1594201
Галич,Галич,58.3828191,42.3654013
Нея,Нея,58.2943349,43.8780948
Макарьев,Макарьев,57.8807152,43.8014197
Солигалич,Солигалич,59.0784867,42.2878423
Чухлома,Чухлома,58.753421,42.6884958
Кологрив,Кологрив,58.8269323,44.3184927
Курган,Курган,55.4443883,65.3161963
Далматово,Далматово,56.262114,62.9387011
Катайск,Катайск,56.290809,62.5800359
Куртамыш,Куртамыш,54.9368539,64.4203722
Макушино,Макушино,55.2153947,67.2451705
Петухово,Петухово,55.0650077,67.8873408
Шадринск,Шадринск,56.0870344,63.6297182
Шумиха,Шумиха,55.2280246,63.2901272
Щучье,Щучье,55.2087637,62.7478548
Курск,Курск,51.7303637,36.1925603
Дмитриев,Дмитриев,52.1268464,35.0739038
Курчатов,Курчатов,51.6604083,35.6572224
Льгов,Льгов,51.6597148,35.2612491
Обоянь,Обоянь,51.2119324,36.2755133
Рыльск,Рыльск,51.5681314,34.6802597
Суджа,Суджа,51.1918927,35.2720915
Фатеж,Фатеж,52.0917728,35.8538706
Щигры,Щигры,51.8786014,36.8910945
Бокситогорск,Бокситогорск,59.4734797,33.845688
Всеволожск,Всеволожск,60.0191278,30.6456718
Волосово,Волосово,59.4445408,29.4923355
Волхов,Волхов,59.9005958,32.3520756
Выборг,Выборг,60.7130801,28.7328336
Высоцк,Высоцк,60.6296236,28.5709314
Гатчина,Гатчина,59.565237,30.1282473
Ивангород,Ивангород,59.3766119,28.2231659
Каменногорск,Каменногорск,60.950855,29.1308372
Кингисепп,Кингисепп,59.3740435,28.6112444
Кириши,Кириши,59.4742862,32.0624947
Кировск,Кировск,59.8754216,30.981364
Коммунар,Коммунар,59.6215133,30.3934125
Колтуши,Колтуши,59.9290738,30.6368307
Кудрово,Кудрово,59.9075226,30.5121008
Лодейное Поле,Лодейное Поле,60.7320936,33.5521022
Луга,Луга,58.7374031,29.8465776
Любань,Любань,59.3493847,31.2484801
Мурино,Мурино,60.044862,30.4571456
Никольское,Никольское,59.7043309,30.7874571
Новая Ладога,Новая Ладога,60.1100135,32.3141203
Отрадное,Отрадное,59.7726848,30.7988557
Пикалёво,Пикалево,59.5132022,34.1772776
Подпорожье,Подпорожье,60.9127549,34.1567664
Приозерск,Приозерск,61.0330896,30.1587851
Санкт-Петербург,Санкт-Петербург,59.943646,30.2851863
Светогорск,Светогорск,61.1111282,28.8725865
Сертолово,Сертолово,60.1446932,30.2095918
Сланцы,Сланцы,59.1178185,28.0881475
Сосновый Бор,Сосновый Бор,59.8772884,29.1291619
Сясьстрой,Сясьстрой,60.1401739,32.5601559
Тихвин,Тихвин,59.6272904,33.5072731
Тосно,Тосно,59.5407098,30.877812
Шлиссельбург,Шлиссельбург,59.9443714,31.0333365
Липецк,Липецк,52.610249,39.5947883
Елец,Елец,52.6152411,38.5289342
Грязи,Грязи,52.4874097,39.9331142
Лебедянь,Лебедянь,53.0156117,39.143536
Данков,Данков,53.2577411,39.1456184
Усмань,Усмань,52.0442648,39.726401
Чаплыгин,Чаплыгин,53.24048,39.9670973
Задонск,Задонск,52.4004179,38.9205032
